l1d_hits,l1d_misses,l1d_hit_rate,l2_hits,l2_misses,l2_hit_rate,l1d_accesses,l2_accesses,mem_accesses,total_cycles,amat_cycles,compulsory_misses_l1d,compulsory_misses_l2,policy,config,l1_size,l1_assoc,l2_size,l2_assoc,benchmark,n_accesses,wall_time_s
93695,6145,0.9384515224358975,3072,3073,0.4999186330349878,99840,6145,3073,468590,4.693409455128203,2049,1025,LRU,A,4096,2,32768,8,streaming_hotset,99840,0.10215069200057769
93695,6145,0.9384515224358975,3072,3073,0.4999186330349878,99840,6145,3073,468590,4.693409455128203,2049,1025,DRRIP,A,4096,2,32768,8,streaming_hotset,99840,0.08761196100022062
59440,4064,0.9360040312421265,2032,2032,0.5,63504,4064,2032,307344,4.83975812547241,4064,2032,LRU,A,4096,2,32768,8,matrix_conv,63504,0.06527734799965401
59440,4064,0.9360040312421265,2032,2032,0.5,63504,4064,2032,307344,4.83975812547241,4064,2032,DRRIP,A,4096,2,32768,8,matrix_conv,63504,0.05506250399776036
24936,11928,0.6764322916666666,4565,7363,0.3827129443326626,36864,11928,7363,892444,24.209092881944446,2048,1024,LRU,A,4096,2,32768,8,linked_list,36864,0.06756269899779
24936,11928,0.6764322916666666,4546,7382,0.3811200536552649,36864,11928,7382,894344,24.260633680555557,2048,1024,DRRIP,A,4096,2,32768,8,linked_list,36864,0.06881191200227477
2029119,1024,0.9994956020339454,512,512,0.5,2030143,1024,512,2091583,1.030263877963277,1024,512,LRU,A,4096,2,32768,8,pattern_search,2030143,1.897231784001633
2029119,1024,0.9994956020339454,512,512,0.5,2030143,1024,512,2091583,1.030263877963277,1024,512,DRRIP,A,4096,2,32768,8,pattern_search,2030143,1.4614596470019023
9600,4480,0.6818181818181818,4256,224,0.95,14080,4480,224,81280,5.772727272727274,448,224,LRU,A,4096,2,32768,8,mixed_access,14080,0.019896871999662835
10004,4076,0.7105113636363637,3852,224,0.9450441609421001,14080,4076,224,77240,5.485795454545454,448,224,DRRIP,A,4096,2,32768,8,mixed_access,14080,0.016979520001768833
187391,12289,0.9384565304487179,6144,6145,0.49995931320693304,199680,12289,6145,937070,4.692858573717951,4097,2049,LRU,B,4096,4,65536,8,streaming_hotset,199680,0.22762045299896272
187391,12289,0.9384565304487179,6144,6145,0.49995931320693304,199680,12289,6145,937070,4.692858573717951,4097,2049,DRRIP,B,4096,4,65536,8,streaming_hotset,199680,0.17973519500083057
59440,4064,0.9360040312421265,2032,2032,0.5,63504,4064,2032,307344,4.83975812547241,4064,2032,LRU,B,4096,4,65536,8,matrix_conv,63504,0.07434987000306137
59440,4064,0.9360040312421265,2032,2032,0.5,63504,4064,2032,307344,4.83975812547241,4064,2032,DRRIP,B,4096,4,65536,8,matrix_conv,63504,0.056773146003251895
49589,24139,0.6725938585069444,9328,14811,0.3864286010190977,73728,24139,14811,1796218,24.36276584201389,4096,2048,LRU,B,4096,4,65536,8,linked_list,73728,0.149514677003026
49587,24141,0.6725667317708334,9277,14864,0.3842839981773746,73728,24141,14864,1801538,24.434922960069443,4096,2048,DRRIP,B,4096,4,65536,8,linked_list,73728,0.14009112200074014
4060223,2048,0.999495848504445,1024,1024,0.5,4062271,2048,1024,4185151,1.030249089733303,2048,1024,LRU,B,4096,4,65536,8,pattern_search,4062271,3.8911804140007007
4060223,2048,0.999495848504445,1024,1024,0.5,4062271,2048,1024,4185151,1.030249089733303,2048,1024,DRRIP,B,4096,4,65536,8,pattern_search,4062271,2.7130215839970333
9600,4480,0.6818181818181818,4256,224,0.95,14080,4480,224,81280,5.772727272727274,448,224,LRU,B,4096,4,65536,8,mixed_access,14080,0.022846968997328077
9960,4120,0.7073863636363636,3896,224,0.945631067961165,14080,4120,224,77680,5.517045454545455,448,224,DRRIP,B,4096,4,65536,8,mixed_access,14080,0.018396043000393547
374783,24577,0.9384590344551282,12288,12289,0.4999796557757253,399360,24577,12289,1874030,4.692583133012819,8193,4097,LRU,C,8192,4,131072,16,streaming_hotset,399360,0.4784043659965391
374783,24577,0.9384590344551282,12288,12289,0.4999796557757253,399360,24577,12289,1874030,4.692583133012819,8193,4097,DRRIP,C,8192,4,131072,16,streaming_hotset,399360,0.3734865539991006
59440,4064,0.9360040312421265,2032,2032,0.5,63504,4064,2032,307344,4.83975812547241,4064,2032,LRU,C,8192,4,131072,16,matrix_conv,63504,0.07536272000288591
59440,4064,0.9360040312421265,2032,2032,0.5,63504,4064,2032,307344,4.83975812547241,4064,2032,DRRIP,C,8192,4,131072,16,matrix_conv,63504,0.05702644100165344
99081,48375,0.67193603515625,18914,29461,0.3909870801033592,147456,48375,29461,3577306,24.260158962673607,8192,4096,LRU,C,8192,4,131072,16,linked_list,147456,0.33369146599943633
99081,48375,0.67193603515625,19480,28895,0.402687338501292,147456,48375,28895,3520706,23.87631564670139,8192,4096,DRRIP,C,8192,4,131072,16,linked_list,147456,0.29894060700098635
8122431,4096,0.9994959716493897,2048,2048,0.5,8126527,4096,2048,8372287,1.0302417010366152,4096,2048,LRU,C,8192,4,131072,16,pattern_search,8126527,7.779833246997441
