config,benchmark,policy,n_accesses,l1_hits,l1_misses,l1_hit_rate,l2_hits,l2_misses,l2_hit_rate,amat_cycles
A,streaming_hotset,LRU,99840,93695,6145,0.938452,3072,3073,0.499919,4.6934
A,streaming_hotset,DRRIP_jaleel,99840,93695,6145,0.938452,3072,3073,0.499919,4.6934
A,streaming_hotset,DRRIP_champsim,99840,93695,6145,0.938452,3072,3073,0.499919,4.6934
A,matrix_conv,LRU,64512,60448,4064,0.937004,2032,2032,0.500000,4.7798
A,matrix_conv,DRRIP_jaleel,64512,60448,4064,0.937004,2032,2032,0.500000,4.7798
A,matrix_conv,DRRIP_champsim,64512,60448,4064,0.937004,2032,2032,0.500000,4.7798
A,linked_list,LRU,120000,80640,39360,0.672000,7335,32025,0.186357,30.9675
A,linked_list,DRRIP_jaleel,120000,80640,39360,0.672000,7135,32225,0.181275,31.1342
A,linked_list,DRRIP_champsim,120000,80640,39360,0.672000,7426,31934,0.188669,30.8917
A,pattern_search,LRU,269280,268256,1024,0.996197,512,512,0.500000,1.2282
A,pattern_search,DRRIP_jaleel,269280,268256,1024,0.996197,512,512,0.500000,1.2282
A,pattern_search,DRRIP_champsim,269280,268256,1024,0.996197,512,512,0.500000,1.2282
A,mixed_access,LRU,14080,9600,4480,0.681818,4256,224,0.950000,5.7727
A,mixed_access,DRRIP_jaleel,14080,9744,4336,0.692045,4112,224,0.948339,5.6705
A,mixed_access,DRRIP_champsim,14080,9780,4300,0.694602,4076,224,0.947907,5.6449
A,Validacao,LRU,8,4,4,0.500000,0,4,0.000000,56.0000
A,Validacao,DRRIP_jaleel,8,4,4,0.500000,0,4,0.000000,56.0000
A,Validacao,DRRIP_champsim,8,4,4,0.500000,0,4,0.000000,56.0000
B,streaming_hotset,LRU,199680,187391,12289,0.938457,6144,6145,0.499959,4.6929
B,streaming_hotset,DRRIP_jaleel,199680,187391,12289,0.938457,6144,6145,0.499959,4.6929
B,streaming_hotset,DRRIP_champsim,199680,187391,12289,0.938457,6144,6145,0.499959,4.6929
B,matrix_conv,LRU,64512,60448,4064,0.937004,2032,2032,0.500000,4.7798
B,matrix_conv,DRRIP_jaleel,64512,60448,4064,0.937004,2032,2032,0.500000,4.7798
B,matrix_conv,DRRIP_champsim,64512,60448,4064,0.937004,2032,2032,0.500000,4.7798
B,linked_list,LRU,120000,80640,39360,0.672000,16123,23237,0.409629,23.6442
B,linked_list,DRRIP_jaleel,120000,80644,39356,0.672033,15164,24192,0.385303,24.4397
B,linked_list,DRRIP_champsim,120000,80644,39356,0.672033,14743,24613,0.374606,24.7905
B,pattern_search,LRU,539616,537568,2048,0.996205,1024,1024,0.500000,1.2277
B,pattern_search,DRRIP_jaleel,539616,537568,2048,0.996205,1024,1024,0.500000,1.2277
B,pattern_search,DRRIP_champsim,539616,537568,2048,0.996205,1024,1024,0.500000,1.2277
B,mixed_access,LRU,14080,9600,4480,0.681818,4256,224,0.950000,5.7727
B,mixed_access,DRRIP_jaleel,14080,9816,4264,0.697159,4040,224,0.947467,5.6193
B,mixed_access,DRRIP_champsim,14080,9903,4177,0.703338,3953,224,0.946373,5.5575
B,Validacao,LRU,8,4,4,0.500000,0,4,0.000000,56.0000
B,Validacao,DRRIP_jaleel,8,4,4,0.500000,0,4,0.000000,56.0000
B,Validacao,DRRIP_champsim,8,4,4,0.500000,0,4,0.000000,56.0000
C,streaming_hotset,LRU,399360,374783,24577,0.938459,12288,12289,0.499980,4.6926
C,streaming_hotset,DRRIP_jaleel,399360,374783,24577,0.938459,12288,12289,0.499980,4.6926
C,streaming_hotset,DRRIP_champsim,399360,374783,24577,0.938459,12288,12289,0.499980,4.6926
C,matrix_conv,LRU,64512,60448,4064,0.937004,2032,2032,0.500000,4.7798
C,matrix_conv,DRRIP_jaleel,64512,60448,4064,0.937004,2032,2032,0.500000,4.7798
C,matrix_conv,DRRIP_champsim,64512,60448,4064,0.937004,2032,2032,0.500000,4.7798
C,linked_list,LRU,120000,81336,38664,0.677800,36664,2000,0.948272,5.8887
C,linked_list,DRRIP_jaleel,120000,81349,38651,0.677908,36651,2000,0.948255,5.8876
C,linked_list,DRRIP_champsim,120000,81349,38651,0.677908,36651,2000,0.948255,5.8876
C,pattern_search,LRU,1080288,1076192,4096,0.996208,2048,2048,0.500000,1.2275
C,pattern_search,DRRIP_jaleel,1080288,1076192,4096,0.996208,2048,2048,0.500000,1.2275
C,pattern_search,DRRIP_champsim,1080288,1076192,4096,0.996208,2048,2048,0.500000,1.2275
C,mixed_access,LRU,14080,9600,4480,0.681818,4256,224,0.950000,5.7727
